Writing Traktor file to /Users/myanguyen/CHIRP-Radio-Application/chirpradio-machine/output.nml
         248018365 function calls (246574689 primitive calls) in 123.865 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     94/1    0.000    0.000  126.001  126.001 {built-in method builtins.exec}
        1    0.000    0.000  126.000  126.000 runpy.py:199(run_module)
        1    0.000    0.000  125.999  125.999 runpy.py:63(_run_code)
        1    0.000    0.000  125.999  125.999 do_generate_collection_nml.py:1(<module>)
        1    0.059    0.059  125.688  125.688 do_generate_collection_nml.py:16(main)
   272989    0.887    0.000  125.630    0.000 do_generate_collection_nml.py:21(main_generator)
   272989    0.320    0.000   96.848    0.000 database.py:108(_audio_file_generator)
   272988    4.922    0.000   95.332    0.000 database.py:60(_get_tags)
  4059834   39.076    0.000   67.740    0.000 {built-in method builtins.eval}
  4059825    5.778    0.000   26.529    0.000 _frames.py:55(__init__)
   272988    3.127    0.000   25.076    0.000 nml_writer.py:78(write)
10381523/8939321    1.837    0.000   19.665    0.000 {built-in method builtins.setattr}
  8938614    5.545    0.000   18.022    0.000 _frames.py:73(__setattr__)
  4059825    0.918    0.000   11.046    0.000 _tags.py:331(add)
   818964    6.827    0.000   10.233    0.000 unicode_util.py:10(simplify)
  4059825    0.976    0.000   10.128    0.000 _tags.py:326(loaded_frame)
  3513507    4.294    0.000    9.773    0.000 _specs.py:522(validate)
  4059825    3.059    0.000    9.152    0.000 _tags.py:284(_add)
  4094820    1.775    0.000    8.134    0.000 saxutils.py:48(quoteattr)
  4094820    2.201    0.000    6.359    0.000 saxutils.py:18(escape)
  4605802    5.551    0.000    5.551    0.000 {method 'fetchone' of 'sqlite3.Cursor' objects}
   272990    5.230    0.000    5.230    0.000 {method 'execute' of 'sqlite3.Connection' objects}
  3513507    1.128    0.000    4.747    0.000 _specs.py:527(<listcomp>)
  4094820    2.489    0.000    3.400    0.000 saxutils.py:12(__dict_replace)
   240367    0.121    0.000    3.194    0.000 _specs.py:720(validate)
   240367    0.174    0.000    3.074    0.000 _specs.py:657(__init__)
  4059825    2.034    0.000    2.999    0.000 _tags.py:339(__setitem__)
   240367    1.813    0.000    2.867    0.000 _specs.py:678(set_text)
 28923578    2.031    0.000    2.031    0.000 {method 'replace' of 'str' objects}
   272988    0.210    0.000    1.896    0.000 audio_file.py:118(canonical_directory)
        1    0.908    0.908    1.515    1.515 nml_writer.py:137(close)
 19900449    1.225    0.000    1.225    0.000 {method 'get' of 'dict' objects}
  8938614    1.222    0.000    1.222    0.000 _frames.py:84(_setattr)
  4059825    0.940    0.000    1.195    0.000 _frames.py:107(_upgrade_frame)
 16757532    1.146    0.000    1.146    0.000 {built-in method builtins.isinstance}
  3513507    1.135    0.000    1.135    0.000 _specs.py:258(validate)
   272988    0.176    0.000    1.090    0.000 ufid.py:19(ufid_prefix)
 12987155    1.037    0.000    1.037    0.000 {built-in method unicodedata.category}
        1    0.000    0.000    0.972    0.972 database.py:123(__init__)
        1    0.002    0.002    0.972    0.972 database.py:220(_get_whitelist)
        1    0.969    0.969    0.969    0.969 {method 'fetchall' of 'sqlite3.Cursor' objects}
16007010/16006807    0.948    0.000    0.948    0.000 {built-in method builtins.len}
  2694543    0.627    0.000    0.932    0.000 _frames.py:143(HashKey)
   272988    0.226    0.000    0.914    0.000 timestamp.py:43(get_human_readable)
  4059825    0.724    0.000    0.724    0.000 _util.py:539(__setitem__)
 11224159    0.718    0.000    0.718    0.000 {built-in method unicodedata.normalize}
 13234366    0.668    0.000    0.668    0.000 {method 'append' of 'list' objects}
   545984    0.603    0.000    0.603    0.000 {built-in method time.strftime}
   272995    0.395    0.000    0.596    0.000 posixpath.py:71(join)
   272988    0.183    0.000    0.595    0.000 _file.py:73(__init__)
  1442259    0.570    0.000    0.570    0.000 {built-in method builtins.locals}
   272988    0.304    0.000    0.542    0.000 order.py:21(decode)
  4091052    0.526    0.000    0.526    0.000 _specs.py:488(validate)
   272988    0.303    0.000    0.509    0.000 schema.py:67(tuple_to_audio_file)
  4059825    0.456    0.000    0.456    0.000 _frames.py:149(FrameID)
  1091952    0.276    0.000    0.419    0.000 _util.py:510(get)
   272988    0.163    0.000    0.412    0.000 _tags.py:172(__init__)
   818964    0.320    0.000    0.410    0.000 _frames.py:872(HashKey)
